p,a00,a01,a02,a03,a10,a11,a12,a13,a20,a21,a22,a23,a30,a31,a32,a33,CM,q
773,1/2,0,1/2,3/2,0,1/44,1/22,117/44,0,0,1,3,0,0,0,11,CM,
773,1/2,0,1/2,3/2,0,1/16,5/8,1/16,0,0,1,3,0,0,0,4,CM,
773,1/2,0,1/2,7/2,0,1/16,1/8,57/16,0,0,1,3,0,0,0,4,CM,
773,1/2,0,1/2,3/2,0,1/24,3/4,73/24,0,0,1,3,0,0,0,6,CM,
773,1/2,0,1/2,3/2,0,1/24,3/4,89/24,0,0,1,3,0,0,0,6,CM,
773,1/2,0,1/2,19/2,0,1/40,1/20,281/40,0,0,1,9,0,0,0,10,CM,
773,1/2,0,5/2,3/2,0,1/40,13/20,13/8,0,0,5,1,0,0,0,2,CM,
773,1/2,0,5/2,3/2,0,1/40,37/20,13/8,0,0,5,1,0,0,0,2,CM,
773,1/2,0,1/2,11/2,0,1/40,9/20,201/40,0,0,1,1,0,0,0,10,CM,
773,1/2,0,1/2,19/2,0,1/40,9/20,249/40,0,0,1,9,0,0,0,10,CM,
773,1/2,0,1/2,23/2,0,1/56,5/28,225/56,0,0,1,9,0,0,0,14,CM,
773,1/2,0,7/2,1/2,0,1/56,113/28,15/8,0,0,7,1,0,0,0,2,CM,
773,1/2,0,1/2,7/2,0,1/56,3/4,193/56,0,0,1,7,0,0,0,14,CM,
773,1/2,0,1/2,3/2,0,1/88,21/44,257/88,0,0,1,3,0,0,0,22,CM,
773,1/2,0,1/2,19/2,0,1/88,1/44,1577/88,0,0,1,19,0,0,0,22,CM,
773,1/2,0,1/2,9/2,0,1/36,1/2,17/36,0,0,1,0,0,0,0,9,CM,
773,1/2,0,1/2,21/2,0,1/60,3/10,701/60,0,0,1,6,0,0,0,15,CM,
773,1/2,0,5/2,3/2,0,1/60,21/10,25/12,0,0,5,0,0,0,0,3,CM,
773,1/2,0,1/2,21/2,0,1/84,1/2,1565/84,0,0,1,0,0,0,0,21,CM,
773,1/2,0,1/2,9/2,0,1/36,1/2,145/36,0,0,1,0,0,0,0,9,CM,
773,1/2,0,1/2,21/2,0,1/84,1/2,1081/84,0,0,1,0,0,0,0,21,CM,
773,1/2,0,35/2,1/2,0,1/140,113/70,3/4,0,0,35,0,0,0,0,1,CM,
773,1/2,0,1/2,19/2,0,1/80,29/40,209/80,0,0,1,19,0,0,0,20,CM,
787,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
787,1/2,0,1/2,1,0,1/4,1/2,1/4,0,0,1,0,0,0,0,2,CM,
787,1/2,0,1/2,2,0,1/6,2/3,11/6,0,0,1,1,0,0,0,3,CM,
787,1/2,0,1/2,2,0,1/10,3/5,21/10,0,0,1,4,0,0,0,5,CM,
787,1/2,0,7/2,0,0,1/14,2/7,1/2,0,0,7,0,0,0,0,1,CM,
787,1/2,0,1/2,0,0,1/14,0,45/14,0,0,1,0,0,0,0,7,CM,
787,1/2,0,1/2,3,0,1/14,3/7,83/14,0,0,1,6,0,0,0,7,CM,
787,1/2,0,1/2,10,0,1/2,2/11,57/22,0,0,1,9,0,0,0,11,CM,
787,1/2,0,1/2,0,0,1/2,0,19/22,0,0,1,0,0,0,0,11,CM,
787,1/2,0,11/2,0,0,1/2,51/11,1/2,0,0,11,0,0,0,0,1,CM,
787,1/2,0,1/2,3,0,1/2,10/11,103/22,0,0,1,6,0,0,0,11,CM,
787,1/2,0,1/2,3,0,1/8,1/4,17/8,0,0,1,2,0,0,0,4,CM,
787,1/2,0,1/2,1,0,1/12,5/6,1/12,0,0,1,2,0,0,0,6,CM,
787,1/2,0,1/2,5,0,1/12,5/6,17/12,0,0,1,4,0,0,0,6,CM,
787,1/2,0,1/2,7,0,1/20,7/10,9/20,0,0,1,4,0,0,0,10,CM,
787,1/2,0,1/2,3,0,1/20,7/10,41/20,0,0,1,6,0,0,0,10,CM,
787,1/2,0,7/2,1,0,1/28,51/14,7/4,0,0,7,0,0,0,0,2,CM,
787,1/2,0,1/2,3,0,1/28,3/14,377/28,0,0,1,6,0,0,0,14,CM,
787,1/2,0,1/2,11,0,1/28,3/14,113/28,0,0,1,8,0,0,0,14,CM,
787,1/2,0,1/2,7,0,1/28,1/2,241/28,0,0,1,0,0,0,0,14,CM,
787,1/2,0,1/2,7,0,1/28,1/2,249/28,0,0,1,0,0,0,0,14,CM,
787,1/2,0,1/2,21,0,1/44,9/22,625/44,0,0,1,20,0,0,0,22,CM,
787,1/2,0,1/2,11,0,1/44,1/2,465/44,0,0,1,0,0,0,0,22,CM,
787,1/2,0,1/2,19,0,1/44,21/22,249/44,0,0,1,16,0,0,0,22,CM,
787,1/2,0,1/2,11,0,1/44,1/2,745/44,0,0,1,0,0,0,0,22,CM,
787,1/2,0,1/2,2,0,1/18,8/9,41/18,0,0,1,4,0,0,0,9,CM,
787,1/2,0,1/2,5,0,1/18,5/9,53/18,0,0,1,1,0,0,0,9,CM,
787,1/2,0,1/2,8,0,1/30,2/15,281/30,0,0,1,1,0,0,0,15,CM,
787,1/2,0,1/2,2,0,1/30,8/15,311/30,0,0,1,4,0,0,0,15,CM,
787,1/2,0,1/2,11,0,1/42,17/21,239/42,0,0,1,1,0,0,0,21,CM,
787,1/2,0,1/2,14,0,1/42,2/3,53/42,0,0,1,7,0,0,0,21,CM,
787,1/2,0,7/2,2,0,1/42,47/21,17/6,0,0,7,1,0,0,0,3,CM,
787,1/2,0,1/2,14,0,1/42,2/3,143/42,0,0,1,7,0,0,0,21,CM,
787,1/2,0,1/2,32,0,1/66,2/33,299/66,0,0,1,31,0,0,0,33,CM,
787,1/2,0,1/2,8,0,1/66,32/33,359/66,0,0,1,16,0,0,0,33,CM,
787,1/2,0,11/2,1,0,1/66,293/33,13/6,0,0,11,2,0,0,0,3,CM,
787,1/2,0,1/2,17,0,1/50,23/25,1131/50,0,0,1,9,0,0,0,25,CM,
787,1/2,0,1/2,32,0,1/110,13/55,3401/110,0,0,1,9,0,0,0,55,CM,
797,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
797,1/2,0,1/2,1/2,0,1/8,3/4,5/8,0,0,1,1,0,0,0,2,CM,
797,1/2,0,1/2,3/2,0,1/12,1/2,5/12,0,0,1,0,0,0,0,3,CM,
797,1/2,0,1/2,3/2,0,1/12,1/2,13/12,0,0,1,0,0,0,0,3,CM,
797,1/2,0,1/2,1/2,0,1/20,3/10,57/20,0,0,1,1,0,0,0,5,CM,
797,1/2,0,5/2,1/2,0,1/20,11/10,1/4,0,0,5,0,0,0,0,1,CM,
797,1/2,0,1/2,1/2,0,1/20,7/10,13/20,0,0,1,1,0,0,0,5,CM,
797,1/2,0,1/2,7/2,0,1/28,1/2,57/28,0,0,1,0,0,0,0,7,CM,
797,1/2,0,1/2,7/2,0,1/28,1/2,41/28,0,0,1,0,0,0,0,7,CM,
797,1/2,0,1/2,9/2,0,1/28,3/14,37/28,0,0,1,2,0,0,0,7,CM,
797,1/2,0,7/2,1/2,0,1/28,9/14,3/4,0,0,7,0,0,0,0,1,CM,
797,1/2,0,1/2,9/2,0,1/28,11/14,117/28,0,0,1,2,0,0,0,7,CM,
797,1/2,0,1/2,3/2,0,1/44,15/22,413/44,0,0,1,3,0,0,0,11,CM,
797,1/2,0,1/2,3/2,0,1/44,7/22,445/44,0,0,1,3,0,0,0,11,CM,
797,1/2,0,11/2,1/2,0,1/44,133/22,3/4,0,0,11,0,0,0,0,1,CM,
797,1/2,0,1/2,5/2,0,1/44,13/22,389/44,0,0,1,5,0,0,0,11,CM,
797,1/2,0,1/2,5/2,0,1/44,9/22,73/44,0,0,1,5,0,0,0,11,CM,
797,1/2,0,1/2,1/2,0,1/16,3/8,21/16,0,0,1,1,0,0,0,4,CM,
797,1/2,0,1/2,5/2,0,1/16,7/8,45/16,0,0,1,1,0,0,0,4,CM,
797,1/2,0,1/2,9/2,0,1/24,1/4,85/24,0,0,1,3,0,0,0,6,CM,
797,1/2,0,1/2,9/2,0,1/24,1/4,5/24,0,0,1,3,0,0,0,6,CM,
797,1/2,0,1/2,1/2,0,1/40,3/20,357/40,0,0,1,1,0,0,0,10,CM,
797,1/2,0,5/2,1/2,0,1/40,39/20,9/8,0,0,5,1,0,0,0,2,CM,
797,1/2,0,5/2,1/2,0,1/40,11/20,1/8,0,0,5,1,0,0,0,2,CM,
797,1/2,0,1/2,1/2,0,1/40,7/20,13/40,0,0,1,1,0,0,0,10,CM,
797,1/2,0,1/2,9/2,0,1/40,3/20,293/40,0,0,1,9,0,0,0,10,CM,
797,1/2,0,1/2,9/2,0,1/56,11/28,117/56,0,0,1,9,0,0,0,14,CM,
797,1/2,0,1/2,5/2,0,1/56,11/28,373/56,0,0,1,5,0,0,0,14,CM,
797,1/2,0,1/2,21/2,0,1/56,1/4,237/56,0,0,1,7,0,0,0,14,CM,
797,1/2,0,7/2,3/2,0,1/56,107/28,3/8,0,0,7,1,0,0,0,2,CM,
797,1/2,0,1/2,9/2,0,1/56,3/28,37/56,0,0,1,9,0,0,0,14,CM,
797,1/2,0,7/2,3/2,0,1/56,187/28,3/8,0,0,7,1,0,0,0,2,CM,
797,1/2,0,1/2,5/2,0,1/88,31/44,1261/88,0,0,1,5,0,0,0,22,CM,
797,1/2,0,1/2,25/2,0,1/88,15/44,413/88,0,0,1,3,0,0,0,22,CM,
797,1/2,0,1/2,25/2,0,1/88,7/44,445/88,0,0,1,3,0,0,0,22,CM,
797,1/2,0,1/2,15/2,0,1/36,5/6,41/36,0,0,1,6,0,0,0,9,CM,
797,1/2,0,7/2,3/2,0,1/84,95/14,11/12,0,0,7,0,0,0,0,3,CM,
797,1/2,0,1/2,15/2,0,1/36,1/6,13/36,0,0,1,6,0,0,0,9,CM,
797,1/2,0,1/2,21/2,0,1/84,1/2,841/84,0,0,1,0,0,0,0,21,CM,
797,1/2,0,1/2,1/2,0,1/100,33/50,617/100,0,0,1,1,0,0,0,25,CM,
797,1/2,0,5/2,15/2,0,1/220,161/110,177/44,0,0,5,4,0,0,0,11,CM,
809,1,0,0,0,1/2,1/2,0,0,1/2,1/6,1/2,1/6,-1/2,1/6,0,-1/3,CM,3
809,1/2,0,1/4,5/4,0,1/6,1/4,11/12,0,0,1/2,1/2,0,0,0,2,CM,3
809,1/2,1/18,0,14/9,0,1/9,0,1/9,0,0,1/2,3/2,0,0,0,3,CM,3
809,1/2,1/30,3/10,97/30,0,1/15,1/10,29/30,0,0,1/2,1/2,0,0,0,5,CM,3
809,1/2,1/30,3/10,103/30,0,1/15,1/10,71/30,0,0,1/2,9/2,0,0,0,5,CM,3
809,1/2,1/42,1/14,277/42,0,1/21,1/7,130/21,0,0,1/2,5/2,0,0,0,7,CM,3
809,1/2,1/66,2/11,284/33,0,1/33,4/11,205/33,0,0,1/2,1/2,0,0,0,11,CM,3
809,1/2,1/66,2/11,200/33,0,1/33,4/11,37/33,0,0,1/2,21/2,0,0,0,11,CM,3
809,1/2,1/66,3/22,559/66,0,1/33,3/11,196/33,0,0,1/2,7/2,0,0,0,11,CM,3
809,1/2,0,1/4,13/4,0,1/12,1/8,59/24,0,0,1/2,5/2,0,0,0,4,CM,3
809,1/2,0,1/4,21/4,0,1/18,1/4,137/36,0,0,1/2,9/2,0,0,0,6,CM,3
809,1/2,0,1/4,13/4,0,1/18,1/12,107/36,0,0,1/2,1/2,0,0,0,6,CM,3
809,1/2,0,1/4,5/4,0,1/30,1/4,263/60,0,0,1/2,5/2,0,0,0,10,CM,3
809,1/2,0,1/4,5/4,0,1/30,1/4,287/60,0,0,1/2,5/2,0,0,0,10,CM,3
809,1/2,0,1/4,21/4,0,1/30,1/20,179/60,0,0,1/2,1/2,0,0,0,10,CM,3
809,1/2,0,1/4,21/4,0,1/30,9/20,251/60,0,0,1/2,1/2,0,0,0,10,CM,3
809,1/2,0,1/4,37/4,0,1/42,9/28,419/84,0,0,1/2,9/2,0,0,0,14,CM,3
809,1/2,0,1/4,5/4,0,1/42,5/28,335/84,0,0,1/2,5/2,0,0,0,14,CM,3
809,1/2,0,1/4,5/4,0,1/42,9/28,659/84,0,0,1/2,5/2,0,0,0,14,CM,3
809,1/2,0,1/4,45/4,0,1/66,3/44,833/132,0,0,1/2,1/2,0,0,0,22,CM,3
809,1/2,0,1/4,37/4,0,1/66,17/44,587/132,0,0,1/2,37/2,0,0,0,22,CM,3
809,1/2,0,1/4,29/4,0,1/66,17/44,2075/132,0,0,1/2,29/2,0,0,0,22,CM,3
809,1/2,0,1/4,77/4,0,1/66,1/4,2129/132,0,0,1/2,33/2,0,0,0,22,CM,3
809,1/2,0,11/4,7/4,0,1/66,43/44,19/12,0,0,11/2,3/2,0,0,0,2,CM,3
809,1/2,0,1/4,45/4,0,1/66,19/44,1169/132,0,0,1/2,1/2,0,0,0,22,CM,3
809,1/2,0,1/4,77/4,0,1/66,1/4,1985/132,0,0,1/2,33/2,0,0,0,22,CM,3
809,1/2,1/54,1/3,176/27,0,1/27,1/6,137/54,0,0,1/2,3/2,0,0,0,9,CM,3
809,1/2,1/54,0,203/27,0,1/27,0,163/27,0,0,1/2,9/2,0,0,0,9,CM,3
809,1/2,1/90,1/10,703/90,0,1/45,1/5,28/45,0,0,1/2,9/2,0,0,0,15,CM,3
809,1/2,1/90,0,203/45,0,1/45,0,406/45,0,0,1/2,15/2,0,0,0,15,CM,3
809,1/2,1/90,1/10,1297/90,0,1/45,1/5,622/45,0,0,1/2,21/2,0,0,0,15,CM,3
809,1/2,1/126,1/7,527/63,0,1/63,2/7,1054/63,0,0,1/2,9/2,0,0,0,21,CM,3
809,1/2,1/198,5/11,3092/99,0,1/99,9/22,785/198,0,0,1/2,51/2,0,0,0,33,CM,3
809,1/2,1/198,3/11,959/99,0,1/99,1/22,5915/198,0,0,1/2,45/2,0,0,0,33,CM,3
809,1/2,1/150,4/25,281/75,0,1/75,8/25,562/75,0,0,1/2,41/2,0,0,0,25,CM,3
809,1/2,1/330,4/55,3431/165,0,1/165,8/55,6862/165,0,0,1/2,81/2,0,0,0,55,CM,3
809,1/2,1/150,9/25,629/75,0,1/75,11/50,341/150,0,0,1/2,29/2,0,0,0,25,CM,3
809,1/2,1/210,13/70,7123/210,0,1/105,13/35,3448/105,0,0,1/2,9/2,0,0,0,35,CM,3
809,1/2,1/294,4/49,5924/147,0,1/147,8/49,4645/147,0,0,1/2,89/2,0,0,0,49,CM,3
809,1/2,1/726,25/242,13363/726,0,1/363,25/121,13363/363,0,0,1/2,205/2,0,0,0,121,CM,3
809,1/2,1/726,69/242,87613/726,0,1/363,17/242,60881/726,0,0,1/2,73/2,0,0,0,121,CM,3
809,1/2,0,1/4,13/4,0,1/24,1/16,59/48,0,0,1/2,13/2,0,0,0,8,CM,3
811,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
811,1/2,0,1/2,1,0,1/4,1/2,3/4,0,0,1,0,0,0,0,2,CM,
811,1/2,0,1/2,2,0,1/6,2/3,17/6,0,0,1,1,0,0,0,3,CM,
811,1/2,0,1/2,0,0,1/10,0,3/10,0,0,1,0,0,0,0,5,CM,
811,1/2,0,5/2,0,0,1/10,11/5,1/2,0,0,5,0,0,0,0,1,CM,
811,1/2,0,1/2,4,0,1/14,1/7,5/14,0,0,1,1,0,0,0,7,CM,
811,1/2,0,7/2,0,0,1/14,17/7,1/2,0,0,7,0,0,0,0,1,CM,
811,1/2,0,1/2,0,0,1/14,0,15/14,0,0,1,0,0,0,0,7,CM,
811,1/2,0,1/2,10,0,1/2,5/11,93/22,0,0,1,9,0,0,0,11,CM,
811,1/2,0,11/2,0,0,1/2,10/11,1/2,0,0,11,0,0,0,0,1,CM,
811,1/2,0,1/2,3,0,1/2,3/11,241/22,0,0,1,6,0,0,0,11,CM,
811,1/2,0,1/2,0,0,1/2,0,101/22,0,0,1,0,0,0,0,11,CM,
811,1/2,0,1/2,3,0,1/8,3/4,27/8,0,0,1,2,0,0,0,4,CM,
811,1/2,0,1/2,5,0,1/12,1/6,43/12,0,0,1,4,0,0,0,6,CM,
811,1/2,0,1/2,1,0,1/12,1/6,11/12,0,0,1,2,0,0,0,6,CM,
811,1/2,0,5/2,1,0,1/20,11/10,7/4,0,0,5,0,0,0,0,2,CM,
811,1/2,0,1/2,5,0,1/20,1/2,3/20,0,0,1,0,0,0,0,10,CM,
811,1/2,0,1/2,5,0,1/20,1/2,147/20,0,0,1,0,0,0,0,10,CM,
811,1/2,0,7/2,1,0,1/28,17/14,5/4,0,0,7,0,0,0,0,2,CM,
811,1/2,0,1/2,3,0,1/28,13/14,75/28,0,0,1,6,0,0,0,14,CM,
811,1/2,0,1/2,11,0,1/28,13/14,219/28,0,0,1,8,0,0,0,14,CM,
811,1/2,0,1/2,7,0,1/28,1/2,83/28,0,0,1,0,0,0,0,14,CM,
811,1/2,0,1/2,7,0,1/28,1/2,211/28,0,0,1,0,0,0,0,14,CM,
811,1/2,0,1/2,11,0,1/44,1/2,867/44,0,0,1,0,0,0,0,22,CM,
811,1/2,0,1/2,3,0,1/44,19/22,507/44,0,0,1,6,0,0,0,22,CM,
811,1/2,0,1/2,3,0,1/44,3/22,483/44,0,0,1,6,0,0,0,22,CM,
811,1/2,0,1/2,11,0,1/44,1/2,827/44,0,0,1,0,0,0,0,22,CM,
811,1/2,0,1/2,1,0,1/44,5/22,875/44,0,0,1,2,0,0,0,22,CM,
811,1/2,0,1/2,8,0,1/18,5/9,41/18,0,0,1,7,0,0,0,9,CM,
811,1/2,0,1/2,5,0,1/18,8/9,119/18,0,0,1,1,0,0,0,9,CM,
811,1/2,0,1/2,2,0,1/18,2/9,89/18,0,0,1,4,0,0,0,9,CM,
811,1/2,0,1/2,5,0,1/30,1/3,203/30,0,0,1,10,0,0,0,15,CM,
811,1/2,0,1/2,5,0,1/30,1/3,347/30,0,0,1,10,0,0,0,15,CM,
811,1/2,0,1/2,11,0,1/42,20/21,233/42,0,0,1,1,0,0,0,21,CM,
811,1/2,0,1/2,14,0,1/42,2/3,113/42,0,0,1,7,0,0,0,21,CM,
811,1/2,0,11/2,1,0,1/66,131/33,7/6,0,0,11,2,0,0,0,3,CM,
811,1/2,0,1/2,32,0,1/66,17/33,1271/66,0,0,1,31,0,0,0,33,CM,
811,1/2,0,1/2,11,0,1/66,1/3,1835/66,0,0,1,22,0,0,0,33,CM,
811,1/2,0,5/2,4,0,1/110,261/55,53/22,0,0,5,8,0,0,0,11,CM,
811,1/2,0,1/2,4,0,1/98,15/49,2189/98,0,0,1,8,0,0,0,49,CM,
811,1/2,0,1/2,74,0,1/154,36/77,5171/154,0,0,1,71,0,0,0,77,CM,
821,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
821,1/2,0,1/2,3/2,0,1/8,1/4,1/8,0,0,1,1,0,0,0,2,CM,
821,1/2,0,1/2,3/2,0,1/12,1/2,29/12,0,0,1,0,0,0,0,3,CM,
821,1/2,0,1/2,3/2,0,1/12,1/2,25/12,0,0,1,0,0,0,0,3,CM,
821,1/2,0,1/2,5/2,0,1/20,1/2,13/20,0,0,1,0,0,0,0,5,CM,
821,1/2,0,1/2,7/2,0,1/20,3/10,1/20,0,0,1,2,0,0,0,5,CM,
821,1/2,0,1/2,7/2,0,1/20,7/10,89/20,0,0,1,2,0,0,0,5,CM,
821,1/2,0,1/2,5/2,0,1/20,1/2,37/20,0,0,1,0,0,0,0,5,CM,
821,1/2,0,1/2,1/2,0,1/28,13/14,1/28,0,0,1,1,0,0,0,7,CM,
821,1/2,0,1/2,1/2,0,1/28,1/14,125/28,0,0,1,1,0,0,0,7,CM,
821,1/2,0,1/2,11/2,0,1/28,5/14,81/28,0,0,1,4,0,0,0,7,CM,
821,1/2,0,1/2,11/2,0,1/28,9/14,129/28,0,0,1,4,0,0,0,7,CM,
821,1/2,0,1/2,11/2,0,1/44,1/2,137/44,0,0,1,0,0,0,0,11,CM,
821,1/2,0,1/2,21/2,0,1/44,1/22,309/44,0,0,1,10,0,0,0,11,CM,
821,1/2,0,1/2,13/2,0,1/44,15/22,229/44,0,0,1,2,0,0,0,11,CM,
821,1/2,0,1/2,11/2,0,1/44,1/2,105/44,0,0,1,0,0,0,0,11,CM,
821,1/2,0,1/2,1/2,0,1/44,1/22,417/44,0,0,1,1,0,0,0,11,CM,
821,1/2,0,1/2,9/2,0,1/44,15/22,13/44,0,0,1,9,0,0,0,11,CM,
821,1/2,0,1/2,3/2,0,1/16,5/8,57/16,0,0,1,3,0,0,0,4,CM,
821,1/2,0,1/2,7/2,0,1/16,1/8,49/16,0,0,1,3,0,0,0,4,CM,
821,1/2,0,1/2,3/2,0,1/24,3/4,97/24,0,0,1,3,0,0,0,6,CM,
821,1/2,0,1/2,3/2,0,1/24,3/4,65/24,0,0,1,3,0,0,0,6,CM,
821,1/2,0,1/2,7/2,0,1/40,17/20,129/40,0,0,1,7,0,0,0,10,CM,
821,1/2,0,1/2,3/2,0,1/40,17/20,321/40,0,0,1,3,0,0,0,10,CM,
821,1/2,0,1/2,7/2,0,1/40,13/20,41/40,0,0,1,7,0,0,0,10,CM,
821,1/2,0,1/2,3/2,0,1/40,13/20,9/40,0,0,1,3,0,0,0,10,CM,
821,1/2,0,1/2,15/2,0,1/40,1/4,313/40,0,0,1,5,0,0,0,10,CM,
821,1/2,0,1/2,3/2,0,1/56,9/28,753/56,0,0,1,3,0,0,0,14,CM,
821,1/2,0,1/2,11/2,0,1/56,5/28,473/56,0,0,1,11,0,0,0,14,CM,
821,1/2,0,1/2,27/2,0,1/56,1/28,561/56,0,0,1,13,0,0,0,14,CM,
821,1/2,0,1/2,11/2,0,1/56,9/28,129/56,0,0,1,11,0,0,0,14,CM,
821,1/2,0,1/2,15/2,0,1/56,1/28,321/56,0,0,1,1,0,0,0,14,CM,
821,1/2,0,1/2,27/2,0,1/56,13/28,489/56,0,0,1,13,0,0,0,14,CM,
821,1/2,0,1/2,23/2,0,1/88,1/44,417/88,0,0,1,1,0,0,0,22,CM,
821,1/2,0,1/2,11/2,0,1/88,3/4,1073/88,0,0,1,11,0,0,0,22,CM,
821,1/2,0,1/2,35/2,0,1/88,37/44,1769/88,0,0,1,13,0,0,0,22,CM,
821,1/2,0,1/2,67/2,0,1/440,177/220,769/440,0,0,1,67,0,0,0,110,CM,
821,1/2,0,1/2,15/2,0,1/60,1/2,713/60,0,0,1,0,0,0,0,15,CM,
821,1/2,0,1/2,27/2,0,1/60,9/10,569/60,0,0,1,12,0,0,0,15,CM,
821,1/2,0,1/2,33/2,0,1/132,1/2,1073/132,0,0,1,0,0,0,0,33,CM,
821,1/2,0,1/2,3/2,0,1/36,5/6,25/36,0,0,1,3,0,0,0,9,CM,
821,1/2,0,1/2,27/2,0,1/84,5/14,925/84,0,0,1,6,0,0,0,21,CM,
823,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
823,1/2,0,1/2,0,0,1/4,0,5/4,0,0,1,0,0,0,0,2,CM,
823,1/2,0,1/2,1,0,1/6,1/3,5/6,0,0,1,2,0,0,0,3,CM,
823,1/2,0,1/2,2,0,1/10,4/5,43/10,0,0,1,4,0,0,0,5,CM,
823,1/2,0,1/2,2,0,1/14,4/7,75/14,0,0,1,4,0,0,0,7,CM,
823,1/2,0,1/2,1,0,1/14,1/7,97/14,0,0,1,2,0,0,0,7,CM,
823,1/2,0,1/2,2,0,1/2,9/11,199/22,0,0,1,4,0,0,0,11,CM,
823,1/2,0,1/2,5,0,1/2,8/11,49/22,0,0,1,10,0,0,0,11,CM,
823,1/2,0,1/2,7,0,1/2,6/11,183/22,0,0,1,3,0,0,0,11,CM,
823,1/2,0,1/2,0,0,1/8,0,21/8,0,0,1,0,0,0,0,4,CM,
823,1/2,0,1/2,2,0,1/8,1/2,13/8,0,0,1,0,0,0,0,4,CM,
823,1/2,0,1/2,4,0,1/12,1/3,61/12,0,0,1,2,0,0,0,6,CM,
823,1/2,0,1/2,4,0,1/12,2/3,53/12,0,0,1,2,0,0,0,6,CM,
823,1/2,0,1/2,8,0,1/20,2/5,157/20,0,0,1,6,0,0,0,10,CM,
823,1/2,0,1/2,8,0,1/20,3/5,13/20,0,0,1,6,0,0,0,10,CM,
823,1/2,0,1/2,6,0,1/28,3/7,69/28,0,0,1,12,0,0,0,14,CM,
823,1/2,0,1/2,12,0,1/28,5/7,61/28,0,0,1,10,0,0,0,14,CM,
823,1/2,0,1/2,8,0,1/28,3/7,29/28,0,0,1,2,0,0,0,14,CM,
823,1/2,0,1/2,12,0,1/28,2/7,317/28,0,0,1,10,0,0,0,14,CM,
823,1/2,0,1/2,6,0,1/44,7/11,93/44,0,0,1,12,0,0,0,22,CM,
823,1/2,0,1/2,18,0,1/44,3/11,909/44,0,0,1,14,0,0,0,22,CM,
823,1/2,0,1/2,20,0,1/44,1/11,837/44,0,0,1,18,0,0,0,22,CM,
823,1/2,0,1/2,1,0,1/18,7/9,47/18,0,0,1,2,0,0,0,9,CM,
823,1/2,0,1/2,7,0,1/18,1/9,113/18,0,0,1,5,0,0,0,9,CM,
823,1/2,0,1/2,4,0,1/18,4/9,125/18,0,0,1,8,0,0,0,9,CM,
823,1/2,0,1/2,13,0,1/30,4/15,107/30,0,0,1,11,0,0,0,15,CM,
823,1/2,0,1/2,7,0,1/30,1/15,347/30,0,0,1,14,0,0,0,15,CM,
823,1/2,0,1/2,7,0,1/30,4/15,143/30,0,0,1,14,0,0,0,15,CM,
823,1/2,0,1/2,19,0,1/42,4/21,611/42,0,0,1,17,0,0,0,21,CM,
823,1/2,0,1/2,16,0,1/42,10/21,527/42,0,0,1,11,0,0,0,21,CM,
823,1/2,0,1/2,13,0,1/66,31/33,2069/66,0,0,1,26,0,0,0,33,CM,
823,1/2,0,1/2,4,0,1/66,28/33,653/66,0,0,1,8,0,0,0,33,CM,
823,1/2,0,1/2,7,0,1/50,14/25,573/50,0,0,1,14,0,0,0,25,CM,
823,1/2,0,1/2,9,0,1/98,39/49,2511/98,0,0,1,18,0,0,0,49,CM,
823,1/2,0,1/2,72,0,1/154,25/77,9553/154,0,0,1,67,0,0,0,77,CM,
823,1/2,0,1/2,8,0,1/98,22/49,4493/98,0,0,1,16,0,0,0,49,CM,
823,1/2,0,1/2,15,0,1/154,50/77,7055/154,0,0,1,30,0,0,0,77,CM,
823,1/2,0,1/2,50,0,1/154,36/77,7881/154,0,0,1,23,0,0,0,77,CM,
823,1/2,0,1/2,38,0,1/242,41/121,23699/242,0,0,1,76,0,0,0,121,CM,
827,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
827,1/2,0,1/2,1,0,1/4,1/2,5/4,0,0,1,0,0,0,0,2,CM,
827,1/2,0,1/2,0,0,1/6,0,1/6,0,0,1,0,0,0,0,3,CM,
827,1/2,0,3/2,0,0,1/6,5/3,1/2,0,0,3,0,0,0,0,1,CM,
827,1/2,0,1/2,2,0,1/10,2/5,39/10,0,0,1,4,0,0,0,5,CM,
827,1/2,0,1/2,2,0,1/14,1/7,73/14,0,0,1,4,0,0,0,7,CM,
827,1/2,0,1/2,6,0,1/14,5/7,75/14,0,0,1,5,0,0,0,7,CM,
827,1/2,0,1/2,0,0,1/2,0,213/22,0,0,1,0,0,0,0,11,CM,
827,1/2,0,11/2,0,0,1/2,75/11,1/2,0,0,11,0,0,0,0,1,CM,
827,1/2,0,1/2,3,0,1/2,6/11,97/22,0,0,1,6,0,0,0,11,CM,
827,1/2,0,1/2,1,0,1/2,1/11,65/22,0,0,1,2,0,0,0,11,CM,
827,1/2,0,1/2,1,0,1/8,3/4,13/8,0,0,1,2,0,0,0,4,CM,
